Timestamp,File,Model,Prediction,Correct,Time (ms),Rank
2025-12-12T10:13:14,You Won’t Be Able to Offload Your Holiday Shopping to AI Agents Anytime Soon.pdf,N-grams,Technology,✅,3,2
2025-12-12T10:13:14,You Won’t Be Able to Offload Your Holiday Shopping to AI Agents Anytime Soon.pdf,Embeddings,Technology,✅,0,1
2025-12-12T10:13:14,You Won’t Be Able to Offload Your Holiday Shopping to AI Agents Anytime Soon.pdf,LSTM,Technology,✅,9832,3
2025-12-12T10:13:14,You Won’t Be Able to Offload Your Holiday Shopping to AI Agents Anytime Soon.pdf,Transformer,Business,❌,79,4
2025-12-12T10:11:24,Turkish FA bans 102 players in betting probe.pdf,N-grams,Sports,✅,3,1
2025-12-12T10:11:24,Turkish FA bans 102 players in betting probe.pdf,Embeddings,Entertainment,❌,3,4
2025-12-12T10:11:24,Turkish FA bans 102 players in betting probe.pdf,LSTM,Sports,✅,9335,3
2025-12-12T10:11:24,Turkish FA bans 102 players in betting probe.pdf,Transformer,Sports,✅,88,2
2025-12-12T10:10:52,Trump administration appeals judge’s ruling barring troop deployment in Portland.pdf,N-grams,Politics,✅,2,1
2025-12-12T10:10:52,Trump administration appeals judge’s ruling barring troop deployment in Portland.pdf,Embeddings,Politics,✅,2,2
2025-12-12T10:10:52,Trump administration appeals judge’s ruling barring troop deployment in Portland.pdf,LSTM,Politics,✅,10093,3
2025-12-12T10:10:52,Trump administration appeals judge’s ruling barring troop deployment in Portland.pdf,Transformer,Technology,❌,84,4
2025-12-12T10:09:01,Their experiments on a chip revealed quantum physics in action.pdf,N-grams,Science,✅,4,2
2025-12-12T10:09:01,Their experiments on a chip revealed quantum physics in action.pdf,Embeddings,Science,✅,3,1
2025-12-12T10:09:01,Their experiments on a chip revealed quantum physics in action.pdf,LSTM,Science,✅,9893,4
2025-12-12T10:09:01,Their experiments on a chip revealed quantum physics in action.pdf,Transformer,Science,✅,98,3
2025-12-12T10:08:29,The unpopular and politically weak 90-year-old Palestinian leader struggles for a role in Gaza.pdf,N-grams,Politics,✅,2,1
2025-12-12T10:08:29,The unpopular and politically weak 90-year-old Palestinian leader struggles for a role in Gaza.pdf,Embeddings,Politics,✅,5,2
